# HIP Sn So Nc RArad DErad Plx pmRA pmDE e_RArad e_DErad e_Plx e_pmRA e_pmDE Ntr F2 F1 var ic Hpmag e_Hpmag sHp VA B_V e_B_V V_I UW1 UW2 UW3 UW4 UW5 UW6 UW7 UW8 UW9 UW10 UW11 UW12 UW13 UW14 UW15
# taken from HIP2.dat from https://code.google.com/p/pystaratlas/
11001 5 0 1 0.6185027212 -1.1983330069 23.35 -49.95 2.48 0.29 0.33 0.34 0.37 0.44 110 19.51 0 0.0 0 4.098 0.0004 0.004 0 0.034 0.006 0.04 1.01 0.26 1.04 -1.07 1.79 1.01 0.06 -0.27 0.5 1.05 -0.24 1.27 0.52 -1.97 1.0
11345 5 0 1 0.636827908 -0.2145088552 7.15 -11.28 -9.48 0.22 0.18 0.26 0.26 0.22 64 -0.1 0 0.0 0 4.8772 0.0006 0.004 0 -0.027 0.012 -0.01 1.21 -1.69 1.1 -1.58 0.29 1.04 1.25 -1.21 0.78 1.0 -1.72 1.37 -1.0 -0.21 1.0
11407 5 0 1 0.6413434159 -0.8325888425 6.42 19.32 -5.54 0.11 0.12 0.15 0.12 0.12 136 -0.99 0 0.0 0 4.2002 0.0017 0.015 2 -0.136 0.012 -0.11 1.03 0.21 1.09 -1.05 1.34 1.01 0.77 -1.18 0.49 1.02 -1.16 2.8 -0.74 -1.7 1.0
11484 1 2 1 0.6464639924 0.1476564024 16.89 41.8 -13.55 1.08 0.74 1.21 1.42 0.91 73 0.16 0 4.5 0 4.2725 0.0006 0.004 0 -0.053 0.003 -0.06 1.06 -0.35 1.12 -0.21 -0.06 1.03 -0.02 -0.04 0.04 1.0 -0.06 0.55 -0.23 0.11 1.0
11767 5 0 1 0.6622851337 1.5579531082 7.54 44.48 -11.85 0.09 0.1 0.11 0.11 0.13 127 1.08 2 0.0 0 2.1077 0.0021 0.014 1 0.636 0.003 0.7 1.02 1.23 1.04 -0.42 -2.11 1.01 1.67 -0.26 -0.93 1.06 -0.06 1.42 0.64 2.87 1.0
11783 5 0 1 0.6636088945 -0.2660635556 37.46 -80.21 -146.29 0.16 0.18 0.25 0.22 0.24 102 -1.55 0 0.0 0 4.8432 0.0004 0.004 0 0.454 0.012 0.55 1.36 -3.9 1.04 -0.79 0.99 1.07 -2.8 -0.01 -1.94 1.31 1.42 0.28 1.47 -3.18 1.0
12093 5 0 1 0.6801321877 0.097621526 9.59 -26.51 -22.32 0.19 0.15 0.23 0.25 0.22 88 -1.32 0 0.0 0 5.0189 0.0005 0.005 0 0.88 0.003 0.89 1.05 -2.49 1.3 -0.49 1.05 1.1 0.27 -0.59 0.9 1.06 -1.05 2.93 -1.93 -1.41 1.0
12387 5 0 1 0.695873557 0.0057336988 5.02 12.85 -2.94 0.13 0.08 0.15 0.17 0.11 82 -4.82 0 0.0 0 4.0081 0.0013 0.011 1 -0.212 0.009 -0.22 1.12 -2.94 1.12 -0.5 0.06 1.08 -0.31 -1.42 0.91 1.0 -2.11 1.91 -1.97 -0.36 1.0
12390 55 3 2 0.6962214515 -0.2071981974 46.55 161.62 -230.53 2.1 2.08 2.53 2.53 2.51 65 47.17 0 0.0 0 4.9262 0.0008 0.005 0 0.447 0.017 0.53 1.36 -2.24 1.24 -0.16 1.97 1.02 2.92 -0.86 -0.25 1.17 -2.12 1.01 -0.37 -1.86 1.0
12394 5 0 1 0.6963299159 -1.1914830047 21.48 87.3 0.09 0.08 0.09 0.09 0.09 0.1 104 -3.54 0 0.0 0 4.0933 0.0005 0.004 0 -0.061 0.006 -0.07 1.04 -0.38 1.08 -0.85 2.11 1.0 1.9 -0.77 0.42 1.0 -0.81 2.27 0.39 -0.29 1.0
12413 1 1 1 0.6972531912 -0.7486002179 28.02 88.2 -17.82 1.52 1.68 2.19 2.02 1.98 134 2.4 0 11.0 0 4.7613 0.0006 0.007 0 0.061 0.003 0.09 1.03 0.08 1.0 -0.04 0.0 1.04 0.14 0.02 -0.15 1.01 0.04 0.05 0.06 0.09 1.0
12484 5 0 1 0.7010100259 -0.9520757836 20.37 32.86 4.96 0.18 0.19 0.21 0.25 0.26 107 1.14 0 0.0 0 5.3052 0.0006 0.005 0 0.411 0.003 0.48 1.03 0.26 1.04 -0.45 0.61 1.01 -0.42 -0.73 0.46 1.02 -0.72 0.91 -0.14 -0.73 1.0
12486 5 0 1 0.7010356176 -0.6956063706 21.65 135.92 -27.53 0.12 0.14 0.18 0.14 0.15 149 0.17 0 0.0 0 4.2751 0.0006 0.006 0 1.006 0.037 1.05 1.03 1.14 1.03 0.1 0.06 1.0 0.34 -1.04 -0.5 1.0 -0.86 1.18 0.45 0.17 1.0
12706 15 3 2 0.7125397178 0.0564818484 40.97 -146.1 -146.12 0.58 0.47 0.63 0.71 0.55 46 16.21 0 0.0 0 3.5001 0.0006 0.003 0 0.093 0.004 0.1 1.02 -0.07 1.01 -1.04 0.72 1.0 -0.28 -0.32 -0.05 1.01 -0.39 -0.55 -0.33 0.78 1.0
